Cor/raça,Estado civil,Faixa etária,Gênero,Grau de instrução,UF,Quantidade de candidatos eleitos
Amarela,Casado(a),35 a 39 anos,Masculino,Superior completo,RJ,0.0
Amarela,Casado(a),40 a 44 anos,Feminino,Superior completo,AC,0.0
Amarela,Casado(a),45 a 49 anos,Feminino,Superior completo,DF,0.0
Amarela,Casado(a),45 a 49 anos,Feminino,Superior incompleto,PE,0.0
Amarela,Casado(a),45 a 49 anos,Masculino,Superior completo,BA,0.0
Amarela,Casado(a),45 a 49 anos,Masculino,Superior completo,SP,0.0
Amarela,Casado(a),50 a 54 anos,Feminino,Ensino Fundamental completo,MG,0.0
Amarela,Casado(a),50 a 54 anos,Feminino,Superior completo,SP,0.0
Amarela,Casado(a),50 a 54 anos,Masculino,Superior completo,AL,0.0
Amarela,Casado(a),50 a 54 anos,Masculino,Superior completo,SP,0.0
Amarela,Casado(a),55 a 59 anos,Feminino,Ensino Médio completo,MG,0.0
Amarela,Casado(a),55 a 59 anos,Masculino,Ensino Fundamental completo,SP,0.0
Amarela,Casado(a),55 a 59 anos,Masculino,Superior completo,SP,0.0
Amarela,Casado(a),60 a 64 anos,Masculino,Superior completo,SP,0.0
Amarela,Casado(a),65 a 69 anos,Masculino,Superior completo,SP,0.0
Amarela,Casado(a),75 a 79 anos,Masculino,Superior completo,SP,0.0
Amarela,Divorciado(a),40 a 44 anos,Feminino,Superior completo,SP,0.0
Amarela,Divorciado(a),40 a 44 anos,Masculino,Ensino Médio incompleto,SP,0.0
Amarela,Divorciado(a),50 a 54 anos,Feminino,Superior completo,PI,0.0
Amarela,Divorciado(a),50 a 54 anos,Masculino,Superior completo,SP,0.0
Amarela,Divorciado(a),75 a 79 anos,Masculino,Superior completo,MG,0.0
Amarela,Separado(a) judicialmente,40 a 44 anos,Masculino,Ensino Médio completo,SP,0.0
Amarela,Solteiro(a),25 a 29 anos,Feminino,Ensino Médio completo,MG,0.0
Amarela,Solteiro(a),30 a 34 anos,Feminino,Ensino Médio completo,MG,0.0
Amarela,Solteiro(a),30 a 34 anos,Masculino,Superior completo,SP,0.0
Amarela,Solteiro(a),35 a 39 anos,Feminino,Ensino Fundamental incompleto,SE,0.0
Amarela,Solteiro(a),35 a 39 anos,Feminino,Superior completo,BA,0.0
Amarela,Solteiro(a),35 a 39 anos,Masculino,Superior completo,SP,0.0
Amarela,Solteiro(a),40 a 44 anos,Masculino,Ensino Fundamental completo,AP,0.0
Amarela,Solteiro(a),40 a 44 anos,Masculino,Ensino Médio completo,SP,0.0
Amarela,Solteiro(a),45 a 49 anos,Masculino,Ensino Médio completo,SP,0.0
Amarela,Solteiro(a),50 a 54 anos,Masculino,Superior completo,SP,0.0
Amarela,Solteiro(a),65 a 69 anos,Masculino,Ensino Médio completo,SP,0.0
Amarela,Solteiro(a),65 a 69 anos,Masculino,Superior completo,SP,0.0
Amarela,Viúvo(a),40 a 44 anos,Feminino,Ensino Médio completo,MG,0.0
Branca,Casado(a),19 anos,Feminino,Ensino Médio completo,PR,0.0
Branca,Casado(a),21 a 24 anos,Feminino,Ensino Fundamental completo,SP,0.0
Branca,Casado(a),21 a 24 anos,Feminino,Ensino Médio completo,ES,0.0
Branca,Casado(a),21 a 24 anos,Feminino,Ensino Médio completo,SP,0.0
Branca,Casado(a),21 a 24 anos,Feminino,Ensino Médio incompleto,ES,0.0
Branca,Casado(a),21 a 24 anos,Feminino,Superior completo,RS,0.0
Branca,Casado(a),21 a 24 anos,Feminino,Superior incompleto,MG,0.0
Branca,Casado(a),21 a 24 anos,Feminino,Superior incompleto,PI,0.0
Branca,Casado(a),21 a 24 anos,Feminino,Superior incompleto,PR,0.0
Branca,Casado(a),21 a 24 anos,Feminino,Superior incompleto,RJ,0.0
Branca,Casado(a),21 a 24 anos,Feminino,Superior incompleto,SP,0.0
Branca,Casado(a),21 a 24 anos,Masculino,Superior completo,RJ,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Ensino Fundamental incompleto,MT,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Ensino Fundamental incompleto,RS,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Ensino Médio completo,AL,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Ensino Médio completo,BA,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Ensino Médio completo,CE,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Ensino Médio completo,ES,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Ensino Médio completo,RO,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Ensino Médio completo,RS,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Ensino Médio completo,SP,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Superior completo,AL,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Superior completo,ES,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Superior completo,MG,1.0
Branca,Casado(a),25 a 29 anos,Feminino,Superior completo,PR,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Superior completo,RJ,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Superior completo,RS,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Superior completo,SP,0.0
Branca,Casado(a),25 a 29 anos,Feminino,Superior incompleto,SE,0.0
Branca,Casado(a),25 a 29 anos,Masculino,Ensino Fundamental completo,BA,0.0
Branca,Casado(a),25 a 29 anos,Masculino,Ensino Médio completo,RJ,0.0
Branca,Casado(a),25 a 29 anos,Masculino,Ensino Médio completo,SP,0.0
Branca,Casado(a),25 a 29 anos,Masculino,Superior completo,AP,0.0
Branca,Casado(a),25 a 29 anos,Masculino,Superior completo,ES,0.0
Branca,Casado(a),25 a 29 anos,Masculino,Superior completo,MA,0.0
Branca,Casado(a),25 a 29 anos,Masculino,Superior completo,MG,1.0
Branca,Casado(a),25 a 29 anos,Masculino,Superior completo,PR,0.0
Branca,Casado(a),25 a 29 anos,Masculino,Superior completo,RS,0.0
Branca,Casado(a),25 a 29 anos,Masculino,Superior completo,SP,0.0
Branca,Casado(a),25 a 29 anos,Masculino,Superior incompleto,PR,1.0
Branca,Casado(a),25 a 29 anos,Masculino,Superior incompleto,RJ,0.0
Branca,Casado(a),25 a 29 anos,Masculino,Superior incompleto,RS,0.0
Branca,Casado(a),25 a 29 anos,Masculino,Superior incompleto,SP,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Ensino Fundamental completo,SP,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Ensino Médio completo,ES,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Ensino Médio completo,MA,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Ensino Médio completo,PE,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Ensino Médio completo,PR,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Ensino Médio completo,RJ,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Ensino Médio completo,RS,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Ensino Médio completo,SP,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Ensino Médio incompleto,PB,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Lê e escreve,PR,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Superior completo,BA,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Superior completo,DF,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Superior completo,GO,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Superior completo,MG,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Superior completo,PR,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Superior completo,RJ,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Superior completo,RR,1.0
Branca,Casado(a),30 a 34 anos,Feminino,Superior completo,RS,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Superior completo,SP,1.0
Branca,Casado(a),30 a 34 anos,Feminino,Superior incompleto,MA,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Superior incompleto,SP,0.0
Branca,Casado(a),30 a 34 anos,Feminino,Superior incompleto,TO,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Ensino Fundamental completo,AL,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Ensino Fundamental completo,MG,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Ensino Médio completo,BA,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Ensino Médio completo,ES,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Ensino Médio completo,GO,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Ensino Médio completo,MG,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Ensino Médio completo,PA,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Ensino Médio completo,PR,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Ensino Médio completo,RJ,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Ensino Médio completo,RS,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Ensino Médio completo,SP,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Ensino Médio incompleto,RS,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Lê e escreve,PR,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,AC,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,AL,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,AM,1.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,AP,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,BA,1.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,CE,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,GO,3.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,MA,2.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,MG,2.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,MS,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,PE,1.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,PI,1.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,PR,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,RJ,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,RN,2.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,RO,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,SC,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,SP,2.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior completo,TO,1.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior incompleto,GO,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior incompleto,PB,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior incompleto,PR,1.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior incompleto,RJ,0.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior incompleto,RS,1.0
Branca,Casado(a),30 a 34 anos,Masculino,Superior incompleto,SP,0.0
Branca,Casado(a),35 a 39 anos,Feminino,Ensino Fundamental completo,RJ,0.0
Branca,Casado(a),35 a 39 anos,Feminino,Ensino Fundamental incompleto,MG,0.0
Branca,Casado(a),35 a 39 anos,Feminino,Ensino Médio completo,AP,1.0
Branca,Casado(a),35 a 39 anos,Feminino,Ensino Médio completo,BA,0.0
Branca,Casado(a),35 a 39 anos,Feminino,Ensino Médio completo,DF,0.0
Branca,Casado(a),35 a 39 anos,Feminino,Ensino Médio completo,GO,0.0
Branca,Casado(a),35 a 39 anos,Feminino,Ensino Médio completo,MG,0.0
